id,case_id,tag_id
32801,1134,56
30927,598,3
30928,598,4
30930,598,55
30931,598,59
29081,475,2
32803,1134,23
29082,475,20
34425,344,50
34426,344,20
34524,155,24
32989,756,32
32991,756,2
32992,756,65
32993,756,40
32994,756,43
29170,1137,40
29171,1137,10
29172,1137,56
31709,716,35
31711,716,65
31712,716,12
31713,716,18
31025,625,2
31026,625,4
31027,625,9
31028,625,55
31714,716,56
31715,716,58
31716,716,27
29318,1115,32
29319,1115,20
29320,1115,28
30006,1064,2
30007,1064,18
33208,397,50
29396,476,40
33209,397,21
29397,476,43
29398,476,18
5546,523,10
5547,523,3
29399,476,56
33211,397,65
34526,155,2
34646,774,56
31853,966,23
31854,966,65
31902,983,19
31903,983,24
29624,1072,56
29626,1072,10
34648,774,18
34751,922,2
34752,922,65
31974,949,24
34834,264,64
34835,264,65
31976,949,2
33882,1120,24
34836,264,20
34837,264,45
34948,44,2
30166,1044,28
34949,44,4
33884,1120,2
33983,804,38
28779,147,9
30168,1044,46
33984,804,39
28780,147,2
28781,147,59
30245,298,2
28782,147,55
28843,179,24
28845,179,2
28846,179,28
33985,804,40
33986,804,10
33987,804,18
28847,179,9
30247,298,55
33988,804,19
33989,804,65
34092,826,64
34950,44,65
34094,826,43
34095,826,23
34297,758,64
34299,758,2
32070,762,2
32071,762,65
34300,758,38
34301,758,65
34302,758,9
34303,758,13
32073,762,20
34304,758,59
34951,44,24
34952,44,59
5693,828,10
5694,828,20
5695,828,23
5696,828,30
30382,322,56
29925,396,23
29926,396,55
30009,143,56
30011,143,4
30813,581,64
30815,581,2
30816,581,4
31717,717,24
30817,581,9
30818,581,43
31720,717,65
32690,915,32
30819,581,13
30820,581,28
32692,915,2
32693,915,46
31721,717,40
31792,739,24
31794,739,40
31795,739,65
31856,965,58
30094,170,2
30095,170,9
31858,965,46
31859,965,55
34428,1099,45
34429,1099,46
34528,112,2
33664,181,56
33665,181,18
33666,181,23
30096,170,21
33668,181,39
34529,112,4
34650,757,64
34652,757,42
34653,757,43
30097,170,55
30170,137,24
33886,844,18
28783,215,10
28784,215,18
28785,215,38
28786,215,55
29085,174,2
30172,137,65
33887,844,21
33889,844,55
31945,955,64
33990,802,24
34754,926,28
34838,270,64
29086,174,55
29087,174,4
28848,220,32
31947,955,3
31949,955,13
28849,220,9
28850,220,2
29088,174,65
29173,1136,23
29174,1136,18
33992,802,28
34841,270,65
29175,1136,19
34842,270,55
29176,1136,55
31950,955,46
34843,270,23
34954,45,2
31951,955,19
29241,318,2
31978,948,18
31979,948,19
31980,948,55
33213,687,2
33215,687,55
33993,802,32
33994,802,65
32074,762,55
29243,318,55
32092,768,40
34197,198,64
34200,198,20
34305,753,40
32093,768,10
32094,768,18
34306,753,56
32095,768,19
32096,768,56
29400,287,64
32103,771,55
32104,771,28
32105,771,65
34956,45,65
34957,45,46
34959,45,24
29403,287,43
29404,287,18
29405,287,55
29406,287,23
29555,1084,18
29556,1084,19
29557,1084,21
29558,1084,55
29627,1072,18
29750,439,32
29752,439,20
29753,439,13
29754,439,64
34431,1101,18
34432,1101,19
29177,1135,32
34434,1101,55
29178,1135,40
34531,133,32
32805,1139,24
32806,1139,20
32807,1139,2
32808,1139,28
31722,720,32
31724,720,2
31725,720,65
30013,154,64
31726,720,10
31727,720,55
30015,154,2
33890,845,24
31796,741,56
33892,845,43
33135,1012,64
30016,154,9
31798,741,18
31800,741,46
30017,154,43
33137,1012,38
33138,1012,40
30018,154,13
30019,154,55
33139,1012,43
33140,1012,18
33141,1012,19
33894,845,32
34532,133,64
33217,577,2
33218,577,4
33219,577,9
34533,133,2
33220,577,13
34201,790,65
29179,1135,19
29180,1135,55
29245,514,55
34202,790,18
30173,1043,2
34203,790,23
34308,726,32
30175,1043,13
30176,1043,20
33221,577,55
34310,726,65
34311,726,9
34312,726,42
34313,726,20
34314,726,28
34534,133,65
34535,133,13
31911,982,28
34536,133,20
31912,982,55
30177,1043,55
30178,1043,59
34655,738,3
31257,681,32
31259,681,2
31260,681,3
31261,681,43
31262,681,46
29246,514,65
34657,738,65
34658,738,43
34660,738,18
34661,738,56
34755,942,23
34756,942,18
34757,942,19
34758,942,55
28851,220,28
34844,271,64
29407,1104,24
29408,1104,3
34847,271,46
34848,271,18
34849,271,56
34960,559,64
31264,681,59
34962,559,42
34963,559,44
34964,559,18
34965,559,20
34966,559,28
31406,1013,32
29409,1104,19
29488,1096,56
29489,1096,18
35063,501,39
35064,501,10
35065,501,46
29491,1096,30
29560,1083,2
35066,501,58
28968,361,3
28970,361,13
28971,361,18
28972,361,20
29562,1083,55
29700,296,4
29701,296,45
29703,296,55
29704,296,28
31728,721,64
31729,721,65
34435,1106,64
31731,721,10
31732,721,55
31733,721,27
34436,1106,23
34537,146,9
34538,146,2
29931,106,42
29932,106,20
29933,106,13
31802,742,55
30021,1063,18
30022,1063,19
31803,742,28
31804,742,65
31866,964,18
34539,146,65
34662,734,8
34663,734,65
31868,964,46
31869,964,55
34664,734,2
33673,960,32
33675,960,64
30023,1063,50
33676,960,43
33677,960,18
33678,960,23
34759,944,64
34761,944,37
30936,599,65
30937,599,8
30938,599,13
30024,1063,46
34764,944,50
30105,336,39
34765,944,20
34850,284,64
30179,504,32
34109,43,56
30181,504,4
30182,504,46
34204,792,8
34206,792,27
34207,792,13
